Marcas,Nombre,Precio normal,Descripción corta,Categorías,Valor(es) del atributo 5
Nike,Nike Air Force 1 Low Off-White Black White,,Off-White x Nike Air Force 1 Low Black lanzado en diciembre de 2018 para cerrar un año impresionante de lanzamientos de Virgil Abloh y el Swoosh.,"Hombres, Hombres > Zapatillas > Nike, Zapatillas > Nike, Hombres > Zapatillas > Off-White, Zapatillas > Off-White, Hombres > Zapatillas, Zapatillas","Nike Air Force 1, Off-White"
,Nike Air Force 1 Low Off-White Black White,5995,,,
Jordan,Air Jordan 13 Retro Low Clot Sepia Stone,,"LCLOT x Air Jordan 13 Low es una edición colaborativa única de la silueta del cofundador y director creativo de CLOT, Edison Chen. El diseño está inspirado en la juventud de Chen, que pasó entre Canadá y Hong Kong, China.","Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 13"
,Air Jordan 13 Retro Low Clot Sepia Stone,2780,,,
Jordan,Air Jordan 6 Retro Diffused Blue,,Air Jordan 6 Diffused Blue es un aspecto completamente nuevo para la silueta icónica que debutó en el invierno de 2018.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 6"
,Air Jordan 6 Retro Diffused Blue,1730,,,
Adidas,Adidas Yeezy Boost 700 V2 Geode,,Adidas Yeezy Boost 700 V2 Geode es el segundo lanzamiento de la versión V2 de la famosa zapatilla gruesa de Kanye West.,"Hombres, Hombres > Zapatillas > Adidas, Zapatillas > Adidas, Zapatillas > Yeezy, Hombres > Zapatillas, Zapatillas","Yeezy, Yeezy 700"
,Adidas Yeezy Boost 700 V2 Geode,2480,,,
Jordan,Air Jordan 1 Retro High Phantom Gym Red,,Air Jordan 1 High OG Phantom es otro aspecto excepcional para el primer calzado exclusivo de Michael Jordan.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 1"
,Air Jordan 1 Retro High Phantom Gym Red,2560,,,
Jordan,Air Jordan 3 Retro Tinker White University Red,,ir Jordan 3 Tinker Air Max 1 - University Red es una edición especial del diseño alternativo de Jordan 3.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 3"
,Air Jordan 3 Retro Tinker White University Red,1870,,,
Jordan,Air Jordan 1 Retro High Black Crimson Tint,,Las Air Jordan 1 Crimson Tint es otro aspecto excepcional para el icónico Jordan 1. El primer zapato exclusivo de Michael Jordan se presenta en bloques de colores clásicos con una combinación de color Crimson Tint y negro.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 1"
,Air Jordan 1 Retro High Black Crimson Tint,1980,,,
Jordan,Air Jordan 1 Retro High Sports Illustrated,,Air Jordan 1 Sports Illustrated es una combinación de colores de edición especial del icónico modelo inspirado en la primera portada de Sports Illustrated en la que apareció Michael Jordan como miembro de los Chicago Bulls.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 1"
,Air Jordan 1 Retro High Sports Illustrated,1550,,,
Jordan,Air Jordan 4 Retro Black Cat 2020,,Air Jordan 4 Black Cat 2020 CU1110-010 marca solo el segundo lanzamiento de la combinación de colores altamente versátil inspirada en uno de los muchos apodos de Michael Jordan.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 4"
,Air Jordan 4 Retro Black Cat 2020,5699,,,
Jordan,Air Jordan 1 Retro High Travis Scott,,Travis Scott x Air Jordan 1 High OG es la colaboración de edición limitada de la superestrella del rap y la marca Jordan en la silueta icónica que presenta un giro importante.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 1"
,Air Jordan 1 Retro High Travis Scott,9999,,,
Jordan,Air Jordan 1 Retro High OG Defiant SB LA to Chicago,,Nike SB x Air Jordan 1 Defiant LA to Chicago AKA Court Purple es una de las dos combinaciones de colores colaborativas lanzadas por la división de skateboard de Nike y la marca Jordan en 2019.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 1"
,Air Jordan 1 Retro High OG Defiant SB LA to Chicago,2680,,,
Jordan,Air Jordan 1 Retro High OG Defiant SB NYC to Paris,,Nike SB x Air Jordan 1 Defiant NYC to Paris AKA Light Bone es una de las dos colaboraciones de la icónica zapatilla de baloncesto lanzada por Nike SB y Jordan Brand en 2019.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 1"
,Air Jordan 1 Retro High OG Defiant SB NYC to Paris,1880,,,
Bape,Bape Baby Milo x Lil Yachty Pullover,,"Bape Baby Milo x Lil Yachty Pullover esta sudadera con capucha de Bape que combina una tela cálida, un atrevido bloqueo de color y costuras caídas en los hombros para un ajuste cómodo y relajado.","Hombres, Ropa Streetwear > Poleras, Ropa Streetwear",
,Bape Baby Milo x Lil Yachty Pullover - Gray,1750,,,
,"Bape Baby Milo x Lil Yachty Pullover - Black, XL",2100,,,
Bape,Bape Mix Camo Shark Crazy Wide Sweat,,"Bape Mix Camo Shark Crazy Wide Sweat esta sudadera con capucha de Bape que combina una tela cálida, un atrevido bloqueo de color y costuras caídas en los hombros para un ajuste cómodo y relajado.","Hombres, Ropa Streetwear > Poleras, Ropa Streetwear",
,Bape Mix Camo Shark Crazy Wide Sweat - Cyan,2250,,,
Bape,Bape Applique Shark Crewneck,,"Bape Applique Shark Crewneck esta sudadera con capucha de Bape que combina una tela cálida, un atrevido bloqueo de color y costuras caídas en los hombros para un ajuste cómodo y relajado.","Hombres, Ropa Streetwear > Poleras, Ropa Streetwear",
,Bape Applique Shark Crewneck - Black,1800,,,
Jordan,Air Jordan 7 Retro Ray Allen Bucks,,Air Jordan 7 Ray Allen es una edición especial de la zapatilla Jordan clásica inspirada en un colorway exclusivo del jugador original de Ray Allen durante sus días jugando con los Milwaukee Bucks.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 7"
Jordan,Air Jordan 6 Retro Reflections of a Champion,,"Air Jordan 6 Reflections of a Champion es una edición reflectante especial del icónico modelo. La combinación de colores llamativos es parte del paquete Reflections on a Champion, que celebra los tres primeros campeonatos de la NBA de Michael Jordan con los Chicago Bulls con ediciones reflectantes de los tres zapatos que usó durante las temporadas previas a su primer 3-Peat.","Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 6"
,Air Jordan 6 Retro Reflections of a Champion,1370,,,
Jordan,Air Jordan 7 Retro Reflections of a Champion,,Air Jordan 7 Reflections of a Champion es una edición reflectante especial del modelo clásico como parte del paquete Reflections of a Champion de 2019.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 7"
,Air Jordan 7 Retro Reflections of a Champion,1340,,,
Jordan,Air Jordan 1 Retro High Neutral Grey Hyper Crimson,,Air Jordan 1 Neutral Grey / Hyper Crimson es una combinación de colores y una construcción únicos para la silueta icónica.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 1"
Jordan,Jordan Spizike Black Gym Red,,"Creada con el cineasta estadounidense Spike Lee, la zapatilla Air Jordan Spizike es un modelo híbrido que combina elementos de modelos Air Jordan anteriores, incluidos el AJ4 y el AJ20.","Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas",Air Jordan
,Jordan Spizike Black Gym Red,1240,,,
Jordan,Air Jordan 1 Retro High Black Gym Red,,"Air Jordan 1 Gym Red es otro estilo elegante para la silueta icónica. Este lanzamiento de 2019 presenta una nueva versión de la clásica paleta de colores rojo, blanco y negro de los Chicago Bulls en el Jordan 1.","Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 1"
,Air Jordan 1 Retro High Black Gym Red,1730,,,
Jordan,Air Jordan 1 Mid Camo 2020,,"Air Jordan 1 Mid Camo presenta una iteración del bosque del estampado de inspiración militar en el panel del talón de la zapatilla y las solapas del cuello, con el logotipo clásico de Wings en el lateral.","Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 1"
,Air Jordan 1 Mid Camo 2020,1750,,,
Jordan,Air Jordan 6 Retro Washed Denim,,Air Jordan 6 Washed Denim es una nueva versión del estilo de vida del ícono del baloncesto de rendimiento de principios de los 90 que usó Michael Jordan cuando capturó su primer campeonato de la NBA.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 6"
,Air Jordan 6 Retro Washed Denim,1509,,,
Jordan,Air Jordan 5 Retro Michigan,,Air Jordan 5 Michigan también conocido como el colorway Inspire es un estilo vibrante para la silueta icónica que se inspira en la Universidad de Michigan.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 5"
,Air Jordan 5 Retro Michigan,1930,,,
Jordan,Air Jordan 11 Retro Low IE Space Jam,,Air Jordan 11 Low IE Space Jam es el clásico modelo low-top en una combinación de colores inspirada en la famosa combinación de colores Space Jam de las Air Jordan 11 estándar.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 11"
,Air Jordan 11 Retro Low IE Space Jam,1720,,,
Jordan,Air Jordan 1 Mid Oakland,,"Air Jordan 1 Mid Oakland presenta una combinación de colores que recuerda al equipo de béisbol Oakland Athletics. De ninguna manera es un esfuerzo de colaboración entre el equipo de béisbol de las grandes ligas y Jordan Brand, sin embargo, el esquema de color de este diseño refleja el de los colores del uniforme del equipo de Atletismo.","Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 1"
Jordan,Air Jordan 4 Retro SE 95 Neon,,Air Jordan 4 Air Max 95 Neon es un lanzamiento especial de Air Max del mes de la cuarta zapatilla de baloncesto de Michael Jordan que rinde homenaje al igualmente legendario colorway Air Max 95 Neon.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 4"
,Air Jordan 4 Retro SE 95 Neon,2180,,,
Jordan,Air Jordan 1 Retro High Defiant White Black Gym Red,,Air Jordan 1 High Defiant es una combinación de colores única del modelo icónico con Swooshes sin costuras en los lados.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 1"
,Air Jordan 1 Retro High Defiant White Black Gym Red,1470,,,
Nike Sb,Nike SB Dunk Low Supreme Jewel Swoosh Gold,,Supreme x Nike SB Dunk Low Jewel Swoosh Gold es una de las tres combinaciones de colores únicas lanzadas en la colaboración de otoño de 2019 entre la marca de ropa urbana de fama mundial y Nike SB.,"Hombres, Hombres > Zapatillas > Nike Sb, Zapatillas > Nike Sb, Hombres > Zapatillas, Zapatillas",Nike SB Dunk low
,Nike SB Dunk Low Supreme Jewel Swoosh Gold,1120,,,
Nike Sb,Nike SB Dunk Low Supreme Jewel Swoosh Red,,Supreme x Nike SB Dunk Low Jewel Swoosh Red es una de las tres combinaciones de colores lanzadas en la colaboración de otoño de 2019 del gigante de la moda urbana y Nike SB.,"Hombres, Hombres > Zapatillas > Nike Sb, Zapatillas > Nike Sb, Hombres > Zapatillas, Zapatillas",Nike SB Dunk low
,Nike SB Dunk Low Supreme Jewel Swoosh Red,1255,,,
Jordan,Air Jordan 3 Retro Tinker Black Cement Gold,,"Jordan Brand rinde homenaje al diseñador Tinker Hatfield con las Air Jordan 3 Tinker Black Cement. Desde que Tinker Hatfield entró en la sede de Nike, su impacto se ha sentido en todo el mundo.","Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 3"
,Air Jordan 3 Retro Tinker Black Cement Gold,1799,,,
Jordan,Air Jordan 6 Retro PSG Paris Saint-Germain,,Paris Saint Germain x Air Jordan 6 Iron Grey es el siguiente capítulo de la asociación continua entre Jordan Brand y el club de fútbol francés. La inspiración detrás de esta colaboración de PSG x Air Jordan proviene nada menos que del icónico Air Jordan 6 Carmine.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 6"
,Air Jordan 6 Retro PSG Paris Saint-Germain,2599,,,
Jordan,Air Jordan 12 Retro Fiba,,Air Jordan 12 FIBA añade otra combinación de colores excepcional a la línea de lanzamientos del legendario modelo.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 12"
,Air Jordan 12 Retro Fiba,1999,,,
,Air Jordan 7 Retro Ray Allen Bucks,1599,,,
Jordan,Air Jordan 4 Retro Fiba,,Air Jordan 4 FIBA es una combinación de colores especial del atemporal modelo Air Jordan 4 que celebra la Copa del Mundo de Baloncesto FIBA 2019.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 4"
,Air Jordan 4 Retro Fiba,1999,,,
Nike Sb,Nike SB Dunk Low Supreme,,Supreme x Nike SB Dunk Low Jewel Swoosh Silver es una de las tres combinaciones de colores lanzadas en la colaboración de otoño de 2019 de Supreme y Nike SB.,"Hombres, Hombres > Zapatillas > Nike Sb, Zapatillas > Nike Sb, Hombres > Zapatillas, Zapatillas",Nike SB Dunk low
,Nike SB Dunk Low Supreme,1365,,,
Jordan,Air Jordan 3 Retro Knicks,,"Air Jordan 3 de los Knicks está inspirado en uno de los mayores rivales en la cancha de Michael Jordan, los New York Knicks.","Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 3"
,Air Jordan 3 Retro Knicks,2299,,,
Jordan,Womens Air Jordan 4 Retro Mushroom,,Air Jordan 4 Fossil combina la cuarta zapatilla de baloncesto exclusiva de Michael Jordan en una combinación de colores terrosos con un look premium.,"Mujeres, Zapatillas > Jordan, Mujeres > Zapatillas > Nike, Mujeres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 4"
,Womens Air Jordan 4 Retro Mushroom,2599,,,
Jordan,Air Jordan 12 Retro Black Game Royal,,Air Jordan 12 Game Royal es un aspecto actualizado del diseño que Michael Jordan hizo famoso durante las Finales de la NBA de 1997 contra los Utah Jazz.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 12"
,Air Jordan 12 Retro Black Game Royal,2320,,,
Jordan,Air Jordan 8 SP Retro SE White Multicolor,,"<span title="""">Air Jordan 8 SP Retro SE White Multicolor es un look salvaje para la octava zapatilla exclusiva de Michael Jordan.","Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 8"
,Air Jordan 8 SP Retro SE White Multicolor,1280,,,
Jordan,Air Jordan 1 Retro High First Class Flight,,Air Jordan 1 First Class Flight está repleto de detalles únicos como una oda al grupo trabajador. Cubriendo la parte superior hay una base de cuero blanco con un Swoosh de cuero blanco tonal con un respaldo de cuero amarillo.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 1"
,Air Jordan 1 Retro High First Class Flight,1890,,,
Nike,Nike Air Force 1 Low Off-White Volt,,Off-White x Nike Air Force 1 Low Volt salió en diciembre de 2018 y agregó una explosión de color a un año de lanzamientos de Virgil Abloh y el Swoosh.,"Hombres, Hombres > Zapatillas > Nike, Zapatillas > Nike, Hombres > Zapatillas > Off-White, Zapatillas > Off-White, Hombres > Zapatillas, Zapatillas","Nike Air Force 1, Off-White"
,Nike Air Force 1 Low Off-White Volt,5645,,,
Jordan,Air Jordan 9 Retro White Gym Red,,"Air Jordan 9 white Gym Red para hombre luce un vibrante charol white Gym Red junto con una parte superior blanca. Aunque el MJ nunca usó el Air Jordan 9 en la cancha, nueve años de refinamiento crearon este clásico.","Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 9"
,Air Jordan 9 Retro White Gym Red,2390,,,
Adidas,Adidas Yeezy Boost 350 V2 Zebra,,Adidas Yeezy Boost 350 v2 Zebra 2018 es la versión reabastecida del popular colorway Zebra que se lanzó por primera vez un año antes.,"Hombres, Hombres > Zapatillas > Adidas, Zapatillas > Adidas, Zapatillas > Yeezy, Hombres > Zapatillas, Zapatillas","Yeezy, Yeezy 350"
,Adidas Yeezy Boost 350 V2 Zebra,2570,,,
Nike,Nike Air Force 1 Low What The LA,,Nike Air Force 1 Low What the LA es un diseño especial que no combina y dedicado a las franquicias deportivas profesionales del área de Los Ángeles.,"Hombres, Hombres > Zapatillas > Nike, Zapatillas > Nike, Hombres > Zapatillas, Zapatillas",Nike Air Force 1
,Nike Air Force 1 Low What The LA,1985,,,
Jordan,Air Jordan 3 Retro JTH Bio Beige,,"Justin Timberlake presentó su firma Air Jordan 3 JTH durante el Super Bowl en 2018. Una colaboración entre Timberlake y la leyenda del diseño de Nike Tinker Hatfield, la zapatilla recibió una edición encore durante el verano de 2018.","Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 3"
,Air Jordan 3 Retro JTH Bio Beige,2520,,,
Nike,Nike Air Force 1 Low Day of the Dead,,"Nike Air Force 1 Low Day of the Dead para hombre tiene un lanzamiento de una versión especial del ""Día de los Muertos”.","Hombres, Hombres > Zapatillas > Nike, Zapatillas > Nike, Hombres > Zapatillas, Zapatillas",Nike Air Force 1
,Nike Air Force 1 Low Day of the Dead,2499,,,
Jordan,Air Jordan 1 Retro High Black Satin Gym Red,,Air Jordan 1 Black Retro High Black Satin Gym Red continúa el enfoque dedicado de la marca Jordan de cambiar el primer modelo exclusivo de Michael Jordan hacia la categoría de calzado de estilo de vida.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 1"
,Air Jordan 1 Retro High Black Satin Gym Red,1590,,,
Jordan,Air Jordan 1 Retro High Bloodline,,Air Jordan 1 High Bloodline es un lanzamiento de otoño de 2019 que está inspirado en un anuncio inicial del primer calzado exclusivo de Michael Jordan.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 1"
,Air Jordan 1 Retro High Bloodline,1950,,,
Jordan,Air Jordan 1 Retro High Zoom Fearless,,Air Jordan 1 High Zoom Fearless reinventa el clásico zapato de caña alta tanto estética como técnicamente como parte de la campaña Fearless Ones de la marca Jordan.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 1"
,Air Jordan 1 Retro High Zoom Fearless,1690,,,
Jordan,Air Jordan 4 Retro Winterized Loyal Blue,,Air Jordan 4 Winter Loyal Blue recibe un cambio de imagen listo para el invierno para la silueta icónica. La versión premium de las Air Jordan 4 Loyal Blue luce una combinación de colores que recuerda a las Jordan 4 Encore del rapero Eminem.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 4"
,Air Jordan 4 Retro Winterized Loyal Blue,2130,,,
Jordan,Air Jordan 7 Retro Hare 2.0,,"Air Jordan 7 Hare 2.0 marca el regreso de Hare Jordan, el apodo no oficial del personaje de dibujos animados Bugs Bunny.","Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 7"
,Air Jordan 7 Retro Hare 2.0,1250,,,
Jordan,Air Jordan 1 Retro High Fearless UNC Chicago,,La combinación de colores Air Jordan 1 Fearless celebra el décimo aniversario del discurso de incorporación al Salón de la Fama del baloncesto de Michael Jordan en 2009.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 1"
,Air Jordan 1 Retro High Fearless UNC Chicago,2730,,,
Nike,Nike Air Max 270 React Travis Scott Cactus Trails,,"Travis Scott x Nike Air Max 270 React Cactus Trails es otro de los lanzamientos más codiciados del rapero con Nike. Después de haber aplicado previamente su fórmula de estética de rodeo y hip-hop de Texas a las Air Force 1, Air Jordan 4 y otros modelos en el pasado, Scott pone su mirada en las zapatillas de estilo de vida ultra cómodas de Nike para el verano de 2020.","Hombres, Hombres > Zapatillas > Nike, Zapatillas > Nike, Hombres > Zapatillas, Zapatillas","Nike Air Max, Nike Air Max 270, Nike React"
,Nike Air Max 270 React Travis Scott Cactus Trails,2380,,,
,Air Jordan 1 Mid Oakland,1380,,,
Jordan,Air Jordan 6 Retro Hare,,Jordan 6 Hare es un lanzamiento de la primavera de 2020 que presenta propuestas a otro zapato clásico de Jordan: el Air Jordan 7 Hare original. Apareciendo en los pies de Bugs Bunny durante los comerciales de televisión de principios de los 90 con Michael Jordan.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 6"
,Air Jordan 6 Retro Hare,1640,,,
Jordan,Air Jordan 5 Retro Top 3,,Air Jordan 5 Top 3 es una combinación de tres de las combinaciones de colores más anunciadas que han aparecido en el quinto calzado exclusivo de Michael Jordan.,"Hombres, Hombres > Zapatillas > Jordan, Zapatillas > Jordan, Hombres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 5"
,Air Jordan 5 Retro Top 3,1899,,,
Off-White,Off-White Color Block Off Crewneck,,La polera Off-White Color Block Off Crewneck para hombre es una marca de moda arraigada en la cultura actual a un nivel de gusto particular hasta ahora.,"Hombres, Ropa Streetwear > Poleras, Ropa Streetwear",
,Off-White Color Block Off Crewneck - Black,2890,,,
Off-White,Off-White Diag Free Wizard Over Hoodie,,"La polera Off-White Diag Free Wizard Over Hoodie para hombre sigue ganando popularidad de una temporada a otra y sigue ""definiendo la zona gris entre el blanco y el negro"".","Hombres, Ropa Streetwear > Poleras, Ropa Streetwear",
,Off-White Diag Free Wizard Over Hoodie - Black,2490,,,
Off-White,Off-White Pascal Tool Crewneck,,"La polera Off-White Pascal Tool Crewneck para hombre sigue ganando popularidad de una temporada a otra y sigue ""definiendo la zona gris entre el blanco y el negro"".","Hombres, Ropa Streetwear > Poleras, Ropa Streetwear",
,Off-White Pascal Tool Crewneck - Black,3750,,,
Off-White,Off-White Caravaggio Painting long sleeve,,"La polera Off-White Caravaggio Painting long sleeve para hombre algunas de las mayores obras de arte de nuestra cultura están forjadas en mármol; Venus de Milo, Discobolus, Augustus de Prima Porta ... pero ¿esta sudadera de Off-White y su Pintura de Caravaggio? Algodón.","Hombres, Ropa Streetwear > Poleras, Ropa Streetwear",
,Off-White Caravaggio Painting long sleeve - Black,1890,,,
Off-White,Off-White Ow Logo Dogo Jacket,,"La casaca Off-White Ow Logo Dogo Jacket para hombre sigue ganando popularidad de una temporada a otra y sigue ""definiendo la zona gris entre el blanco y el negro""","Hombres, Ropa Streetwear > Casacas, Ropa Streetwear",
,Off-White Ow Logo Dogo Jacket - Black,4160,,,
Jordan,Womens Air Jordan 1 Retro High Fearless Metallic Rose Gold,,"Las zapatillas Air Jordan 1 High OG Fearless para mujer vestido con un esquema de color negro, oro rosa metálico y blanco.","Mujeres, Zapatillas > Jordan, Mujeres > Zapatillas > Nike, Mujeres > Zapatillas, Zapatillas","Air Jordan, Air Jordan 1"
,Womens Air Jordan 1 Retro High Fearless Metallic Rose Gold,998,,,
